tablescraper-selected-row href,Club Name,Description Excerpt
https://now.calpoly.edu/organization/ata,Alpha Tau Alpha,Alpha Tau Alpha is a professional fraternity for current and future agriculture teachers.
https://now.calpoly.edu/organization/acs,American Chemical Society,The American Chemical Society (ACS) is the registered Cal Poly SLO chapter of the national organization of the same name and provides those interested in chemistry with a place to foster friendships and gain professional knowledge in the field.
https://now.calpoly.edu/organization/aisa,American Indian Students Association,The American Indian Students Association (AISA) strives to create an inclusive environment and welcoming community for anyone who identifies as 'indigenous' or wants to be an ally for indigenous students on Cal Poly's campus.
https://now.calpoly.edu/organization/aiaa,American Institute of Aeronautics and Astronautics,We host speakers from the industry once or twice a month to share about different opportunities within the field or lecture on interesting subjects within the aerospace industry.
https://now.calpoly.edu/organization/aias,American Institute of Architecture Students,"The AIAS is the country's largest organization for students of architecture, providing the best programs, information and resources available. The AIAS is the student affiliate of the AIA and your link to professionals in architecture."
https://now.calpoly.edu/organization/ama,American Marketing Association,The American Marketing Association aims to provide students interested in the fields of marketing and sales with the tools and tips needed to create a successful career and future.
https://now.calpoly.edu/organization/sloaslclub,American Sign Language Club,A group dedicated to learning American Sign Language and Deaf culture.
https://now.calpoly.edu/organization/scasla,"American Society of Landscape Architecture, Student Chapter","This organization helps students pursuing landscape architecture to learn more about the field, build connections, and engage in educational and professional events."
https://now.calpoly.edu/organization/adl,Analogue Design Lab,"Analogue Design Lab designs and produces products for competitions, design challenges, and based on student interests. If you're seeking to make an idea reality or just want to learn more about engineering design, ADL is for you!"
https://now.calpoly.edu/organization/argentineculturalsocietycp,Argentine Cultural Society at Cal Poly,"Organize and host events such as mate gatherings, asados (barbecue cookouts), and alfajor-making workshops, providing authentic spaces where members can enjoy traditional Argentine food and customs together."
https://now.calpoly.edu/organization/asa,Armenian Students Association,"A cultural club aimed to unite, educate, and foster a social environment for students of Armenian heritage."
https://now.calpoly.edu/organization/a3,Asexual Association,"A social club for aromantics, asexuals, and allies to connect and build community."
https://now.calpoly.edu/organization/agc,Associated General Contractors,"We are a student chapter of a national organization for construction companies & vendors, the AGC. We offer a unique point of view on the construction industry as well as access to these companies for professional development and networking."
https://now.calpoly.edu/organization/calpolyasp,Associated Students in Planning,Cal Poly ASP is a professional club for CRP (City and Regional Planning) majors and non-majors to enhance their academic careers by helping to expose them to the City Planning profession. Meetings are weekly. Please contact calpolyasp@gmail.com for more.
https://now.calpoly.edu/organization/ascm,Associated Students of Construction Management,"ASCM offers students the opportunity to learn and be involved in the construction management profession, to network and develop relationships with potential employers, and meet fellow students. The student chapter upholds the ideals and standards of"
https://now.calpoly.edu/organization/asi,"Associated Students, Inc. (ASI)",Connecting students to their ultimate college experience.
https://now.calpoly.edu/organization/ampp,Association for Materials Protection and Performance - Cal Poly Chapter,"The AMPP California Central Coast student chapter is a group of hardworking students looking outside the classroom to expand their education and make lifelong connections by hosting industry talks, performing meaningful experiments, and outreach."
https://now.calpoly.edu/organization/awm,Association for Women in Mathematics - Cal Poly Student Chapter,A society that aims to support women and minorities in mathematics and to influence the culture of mathematics as a whole.
https://now.calpoly.edu/organization/aep,Association of Environmental Professionals,"The Cal Poly Student Chapter of Association of Environmental Professionals promotes networking and professional development in the field of natural resources management in order to enhance, maintain, and protect the natural and human environment."
https://now.calpoly.edu/organization/ats,Association of Transfer Students,The Association of Transfer Students (ATS) is a social club designed to help transfers build community and make their transition to our campus as fun and easy as possible.
https://now.calpoly.edu/organization/aws-cloud-club-at-cal-poly,AWS Cloud Club Cal Poly,"AWS Cloud Club teaches students about AWS Cloud and its use cases, including those related to security, AW, business analytics, business transformation, etc. Gives students hands-on experience through projects in the AWS Cloud, providing industry skills."
https://now.calpoly.edu/organization/waterworks,AWWA Cal Poly San Luis Obispo,"Cal Poly WaterWorks aims to enhance students' understanding of water resource engineering, planning, and management."
https://now.calpoly.edu/organization/badminton,Badminton Club,"Join us if you love badminton! All skills levels welcome, proud member of SCCBL (Southern California Collegiate Badminton League)."
https://now.calpoly.edu/organization/bahai,Baha'i Club at Cal Poly,"The second most geographically widespread religion in the world, the Bahá'í Faith emphasizes unity, peace, and the fundamental oneness of God, oneness of religion, and the oneness of mankind."
https://now.calpoly.edu/organization/bestbuddies,Best Buddies,Best Buddies is an organization that is dedicated to establishing a global volunteer movement that creates opportunities for individuals with intellectual & developmental disabilities.
https://now.calpoly.edu/organization/aephi,"Beta Lambda Chapter of Alpha Epsilon Phi Sorority, Incorporated","Alpha Epsilon Phi is a sorority that fosters lifelong friendship and sisterhood, academics, social involvement, and community service, all the while providing a home away from home for its members."
https://now.calpoly.edu/organization/bmes,Biomedical Engineering Society,"BMES is dedicated to enriching the biomedical engineering student experience by providing an inclusive environment for students to build relationships, explore the field of biomedical engineering, & gain professional skills"
https://now.calpoly.edu/organization/biotech,Biotechnology Club,"The Biotechnology Club provides opportunities for students to gain a better understanding of the field of biotechnology, learn more about career paths in biotech, and gain valuable connections through club events."
https://now.calpoly.edu/organization/baeccommunity,Black Academic Excellence Center (BAEC),"Uplifting the Black student experience, our program unites the Black diaspora by nurturing growth through our shared experiences, along with educational, and social engagements that produce joy and unity. Register for this quarter’s events in our profile"
https://now.calpoly.edu/organization/calpolybsu,Black Student Union,A club for black students and their allies to engage in fun and educational social activities.
https://now.calpoly.edu/organization/blockchain,Blockchain at Cal Poly,"Blockchain at Cal Poly is an education, research, and development platform teaching student and faculty about the applications of blockchain technology and how to develop decentralized applications."
https://now.calpoly.edu/organization/bgsm,BMED Graduate Student Club,"The BMED Graduate Students Club at Cal Poly fosters community among masters level biomedical engineering students, providing a space for socializing and professional development."
https://now.calpoly.edu/organization/bursa,Burmese Student Association,"Burmese Student Association at Cal Poly SLO is a cultural/social club for creating a sense of community among its members and representing Burmese culture on campus through the celebration of Burmese food, events, and major holidays."
https://now.calpoly.edu/organization/caed-dei,"CAED Diversity, Equity, and Inclusion Club","The CAED DEI Club seeks to improve and advocate for the academic, social, and professional circumstances of underrepresented and minority students within CAED as a way of increasing representation and active participation in college affairs."
https://now.calpoly.edu/organization/calpoly3daircraft,Cal Poly 3D Printed Aircraft Club,Our club is dedicated to researching and constructing the next generation of 3D printed RC aircraft for both competition and materials research.
https://now.calpoly.edu/organization/cpac,Cal Poly Accounting Club,CPAC helps students develop professionally and connect with job opportunities in the accounting profession. CPAC creates a community of students and professionals who give back and help students progress into their careers.
https://now.calpoly.edu/organization/alpineclub,Cal Poly Alpine Club,"Cal Poly Alpine Club is designed to facilitate safe travel through the backcountry by providing gear, partners, weather assessments, and educational resources."
https://now.calpoly.edu/organization/cparc,Cal Poly Amateur Radio Club,"A club devoted to the application of amateur radio, the use of the radio frequency spectrum for noncommercial purposes including experimentation, public service, radio communication, and emergency communication."
https://now.calpoly.edu/organization/amsa,Cal Poly American Medical Student Association,AMSA is a pre-medical club focused on preparing students for a career in healthcare. We act as a valuable source of information and provide opportunities and experiences in order to help students thrive in their preparation for medical school.
https://now.calpoly.edu/organization/calpolyandaaz,Cal Poly Andaaz Club,Cal Poly Andaaz is SLO's first competitive Co-ed Film Song Dance Team. Our music especially comes from Indian films mixed with various western pop music.
https://now.calpoly.edu/organization/animation,Cal Poly Animation Club,"The Cal Poly Animation Club is creating animated short films while hosting guest speakers, workshops and tours."
https://now.calpoly.edu/organization/calpolyarchaeology,Cal Poly Archaeology Club,The Cal Poly Archaeology Club aims to promote knowledge of the archaeological discipline and provide a network for members to connect with both professionals and their peers.
https://now.calpoly.edu/organization/archery,Cal Poly Archery Club,The Archery Club focuses on developing an individual's archery shooting skills. The club focuses on recreational archery for both beginners and experts.
https://now.calpoly.edu/organization/cpas,Cal Poly Astronomical Society,"The Cal Poly Astro Society welcomes all who have a passion for space, no prior experience necessary. Throughout the year, we organize stargazing events, guest speakers, and quarterly camping trips. Hope to see you all on our next astronomical adventures!"
https://now.calpoly.edu/organization/aes,Cal Poly Audio Engineering Society,"The Audio Engineering Society provides education in engineering audio gear including speakers, mixers, amplifiers, pedals, microphones, and more!"
https://now.calpoly.edu/organization/website,Cal Poly Ballroom Dance Club,"Ballroom dancing encompasses a wide variety of partner dances. The basic 6 dances in ballroom dancing are Waltz, Foxtrot, Tango, Cha Cha, Rumba, and East Coast Swing, although there are many more. No experience or partner required!"
https://now.calpoly.edu/organization/barbell,Cal Poly Barbell Club,"Previously the Cal Poly Powerlifting Club, we have expanded our focus to all strength-training athletes! We have created an uplifting fitness community that prioritizes mindful training while still having a team-focused bond."
https://now.calpoly.edu/organization/bowling,Cal Poly Bowling Club,We are a competitive bowling team that travels within the west coast region to numerous collegiate bowling tournaments.
https://now.calpoly.edu/organization/calpolycalgeo,Cal Poly CalGeo Club,The goal of Cal Poly CalGeo is to propagate and preserve the interest of Geotechnical Engineering among Cal Poly students & to provide our members with academic and professional connections to ensure their success.
https://now.calpoly.edu/organization/chaarg,Cal Poly CHAARG,"CHAARG is an acronym that stands for *Changing Health, Attitudes, + Actions to Recreate Girls*. We are a community seeking to make fitness fun + support others who want to live a healthy + happy life."
https://now.calpoly.edu/organization/cccp,Cal Poly Chess Club,This club is to promote and help people learn chess.
https://now.calpoly.edu/organization/classics,Cal Poly Classical Literature Book Club,"The Cal Poly Classical Literature Club is a discussion-based club aiming to help members reach a better understanding of modern art, language, and media through reading classics."
https://now.calpoly.edu/organization/climbingclub,Cal Poly Climbing Club,The Cal Poly Climbing Club functions as an organization that supports social events that allow fellow climbers to meet one another and climb together. We also support a competition team that competes through USA Climbing as a recognized collegiate team.
https://now.calpoly.edu/organization/baseball,Cal Poly Club Baseball,Club baseball team that is a member of the National Club Baseball Association (NCBA) and competes in the Sothern Pacific - West Conference. The club typically consists of a 26-32 player roster.
https://now.calpoly.edu/organization/field-hockey,Cal Poly Club Field Hockey,"In the fall, we play other college field hockey club teams and, compete in tournaments such as Cal Cup in the spring. We consist of around 35 members who loving playing field hockey and being in a team environment."
https://now.calpoly.edu/organization/cognitiveneuroscienceclub,Cognitive Neuroscience Club,A club dedicated to providing students with opportunities to learn about cognitive neuroscience and expand their social and professional networks in the field.
https://now.calpoly.edu/organization/cpcr,Cal Poly College Republican Club,"A community of Conservatives united around the ideas of individual freedom, free speech, a strong national defense, free enterprise, and traditional values."
https://now.calpoly.edu/organization/calpolycomsclub,Cal Poly Communication Studies Club,"Cal Poly COMS Club is a dynamic organization designed for students who are interested in understanding the communication field with a focus on academic, professional, and social experiences."
https://now.calpoly.edu/organization/cpesociety,Cal Poly Computer Engineering Society,We are a social and educational community for the Computer Engineering (as well as all computing) majors of Cal Poly! We are a student-run society whose primary goal is to help students succeed in their major and get a jump-start into the workforce.
https://now.calpoly.edu/organization/consulting-club,Cal Poly Consulting Club,Cal Poly Consulting Club (CPCC) focuses on raising awareness about the consulting industry and establishing active connections between students and firms.
https://now.calpoly.edu/organization/calpolysanluisobispocopticclub,Cal Poly Coptic Club,"We are a student-run organization that provides a community for undergraduate students within the Coptic Orthodox Christian faith. We provide prayer meetings, bible studies, church services, service projects, and fun social events."
https://now.calpoly.edu/organization/counter-strike,Cal Poly Counter-Strike Club,"CPCS is Cal Poly's hub for all things Counter-Strike. We provide a community for all players, both casual and competitive! Join our discord for more info! https://discord.gg/PkPnZWmWAA"
https://now.calpoly.edu/organization/mustangcricket,Cal Poly Cricket Club,"Mustang Cricket is a student organization dedicated to promoting cricket on campus. We provide equipment, facilities, and instruction to make cricket accessible to all students, regardless of prior experience."
https://now.calpoly.edu/organization/cpcropsclub,Cal Poly Crops Club,We are a social club in the CAFES department involved in connecting our students to industry professionals within the agriculture sector.
https://now.calpoly.edu/organization/cycling,Cal Poly Cycling Team,The Cal Poly Cycling Team is a community of like-minded individuals who embrace the love of two-wheeled adventures.
https://now.calpoly.edu/organization/calpolydatascience,Cal Poly Data Science Club,"Cal Poly Data Science hopes to be an organization for those pursuing the data science minor or anyone interested in the field. We hold monthly meetings, workshops, alumni panels, and more to increase the exposure and knowledge of data science."
https://now.calpoly.edu/organization/cpslodems,Cal Poly Democrats Club,"Our mission is promote discourse, inclusivity, and engagement with the political process. Our club meetings are an educational space for students to learn more about politics at a local and national level."
https://now.calpoly.edu/organization/disc-golf,Cal Poly Disc Golf Club,Cal Poly Disc Golf Club is a student organization that strives to grow the sport of disc golf in our community. Our club plays in tournaments across California and practices a couple days a week.
https://now.calpoly.edu/organization/distance,Cal Poly Distance Club,CPDC welcomes all competitive and recreational runners. We strive to provide an opportunity for runners to compete in college outside of the NCAA and a friendly environment for those looking to make friends and run.
https://now.calpoly.edu/organization/slo-ducks,Cal Poly Ducks Unlimited Club,This club will supply a gateway for students to become involved with wetland management and waterfowl conservation. The club will also volunteer for Ducks Unlimited to help put on dinners and raffles to support wetland conservation nationwide
https://now.calpoly.edu/organization/cpes,Cal Poly Economics Society,Cal Poly Economics Society was created to provide a forum for intellectually curious students to discuss and learn about economics topics and current events.
https://now.calpoly.edu/organization/cpe,Cal Poly Entrepreneurs,CPE is a thriving student entrepreneurial community on campus that brings together creative thinkers and doers to build world-changing ideas. Join us Tuesdays 6-7 pm in the Nash Innovation Lab.
https://now.calpoly.edu/organization/fencing,Cal Poly Fencing Club,Sport fencing club for all Cal Poly students. We hold practices twice a week and attend at least one tournament a quarter. No experience or personal gear necessary to join.
https://now.calpoly.edu/organization/yarn,Cal Poly Fiber Arts Club,"Do you like to crochet, knit, sew, or embroider? Or are you interested in learning how? Come join the Cal Poly Fiber Arts Club where any skill level is welcome!"
https://now.calpoly.edu/organization/field-studies,Cal Poly Field Studies Club,"Cal Poly Field Studies organizes and plans camping trips filled with an adventure across the west coast to build a community, foster friendships, and learn about the surrounding areas."
https://now.calpoly.edu/organization/fgc,Cal Poly Fighting Game Club,"A general fighting game community encompassing traditional fighters, platform fighters, etc."
https://now.calpoly.edu/organization/cinemaclub,Cal Poly Film Club,Cal Poly Cinema Club offers a great opportunity to meet and connect with fellow students who share an interest in films & filmmaking. We hold weekly film screenings on campus and the club is open to all interest levels.
https://now.calpoly.edu/organization/calpolyfoodrecovery,Cal Poly Food Recovery Network Club,Cal Poly's chapter of the Food Recovery Network aims to give back to the community by combating food insecurity that exists within San Luis Obispo by reducing food waste that harms our environment and further contributes to climate change.
https://now.calpoly.edu/organization/fdc,Cal Poly Furniture Design Club,"Cal Poly Furniture Design Club is a place where you can explore your passion for furniture. Every quarter we will design and build a set. So whether you want to design it, build it, or just talk about it there is a place for you at FDC."
https://now.calpoly.edu/organization/cpgd,Cal Poly Game Development Club,Our club exists to teach people about the various aspects of game development in a welcoming and accessible way. We also host a game jam every quarter.
https://now.calpoly.edu/organization/calpolygeography,Cal Poly Geography Club,"Cal Poly Geography Club is a club open to everyone with interests in our world, the environment, geopolitics, GIS, map-making, and anything related to geography!"
https://now.calpoly.edu/organization/calpolyinvesting,Cal Poly Investing Club,Cal Poly Investing was founded to give Cal Poly students of all years and majors a place to learn about and discuss investing of all kinds.
https://now.calpoly.edu/organization/na,Cal Poly Investment Banking Club,Cal Poly Investment Banking’s mission is to provide students with the resources necessary to attain an internship or job in investment banking.
https://now.calpoly.edu/organization/islaclub,Cal Poly ISLA Club,"Cal Poly ISLA Club provides information, community, and support for ISLA majors or those interested in the major."
https://now.calpoly.edu/organization/juggling,Cal Poly Juggling Club,"We meet to learn new tricks, practice our old ones, and spread the joy of juggling by teaching others."
https://now.calpoly.edu/organization/calpolyjumpropeclub,Cal Poly Jump Rope Club,"Competitive and performance jump rope team dedicated to spreading the sport of jump rope to Cal Poly! Jump rope is no longer just an activity for kids on the playground; it is a fun, challenging, and creative sport! No prior experience necessary!"
https://now.calpoly.edu/organization/cpkaaram,Cal Poly Kaaram Dance Club,The organization is a non-audition fusion Indian dance team primarily focusing on South Indian dance styles.
https://now.calpoly.edu/organization/slolers,Cal Poly League of Legends Club,Provide a campus community for both casual and competitive league of legends players to participate in. Join our Discord server! https://discord.gg/VBSaTxu
https://now.calpoly.edu/organization/cplug,Cal Poly Linux Users Group,"We're both users and fans of the GNU/Linux Operating System, and we want you to be too. We have regular talks and meetings, as well as social events when the opportunity arises."
https://now.calpoly.edu/organization/calpolyloreclub,Cal Poly Lore Club,"Cal Poly Lore Club strives to create an inclusive environment to foster respectful discussions of various fictional works, ranging from videogames to literature. All opinions and theories are welcome, as multiple perspectives are key to understanding."
https://now.calpoly.edu/organization/magic,Cal Poly Magic the Gathering Club,We foster a campus community of Magic: The Gathering players. We host weekly events featuring a wide array of formats. Join our Discord server to find games or just talk MTG!
https://now.calpoly.edu/organization/cpmarksmenship,Cal Poly Marksmanship Club,The Cal Poly Marksmanship Club is a student organization that centers around safe and controlled practice of the shooting sports.
https://now.calpoly.edu/organization/mbvc,Cal Poly Men's Beach Volleyball Club,"We are a competitive yet social men's beach volleyball club. We have scheduled practices weekly and compete in third party tournaments up and down the coast of California. We compete against club teams from other colleges such as USC, UCLA, etc."
https://now.calpoly.edu/organization/cplax,Cal Poly Men's Lacrosse Club,"The Cal Poly Lacrosse Club is a highly competitive, organized, and professional club sport. We compete with teams nationwide in the MCLA as well as locally in the WCLL. We continue to grow in numbers and aim to compete for and win an MCLA championship."
https://now.calpoly.edu/organization/slocore,Cal Poly Men's Ultimate Club,"SLOCORE is the official Ultimate Frisbee team of Cal Poly, San Luis Obispo. Founded in 1978, it has represented the school in local and national competitions with men's and women's teams."
https://now.calpoly.edu/organization/merge,Cal Poly MERGE Contemporary Dance Club,Recreational dance club that focuses on contemporary and jazz-based styles.
https://now.calpoly.edu/organization/cpdm,Cal Poly Miracle Club,Cal Poly Dance Marathon was established in 2016 under Children's Miracle Network. We fundraise year-round and host a dance marathon event every Spring in San Luis Obispo where all proceeds go to the Cottage Children's Medical Center.
https://now.calpoly.edu/organization/calpolymootcourtclub,Cal Poly Moot Court Club,"Moot Court is a club to practice public speaking, oral and written debate, and critical thinking. Students argue over fictional cases and apply real-world precedents/concepts in front of a panel of judges during competitions with other schools."
https://now.calpoly.edu/organization/musa,Cal Poly Multiracial Students' Association,"A social and cultural club focused on building a community to share, learn about, and celebrate mixed students' perspectives."
https://now.calpoly.edu/organization/mycology,Cal Poly Mycology Club,"A club dedicated to allowing students to learn about the field of mycology. Major activities include foraging trips, mushroom grows, and other research projects. Join our Discord for information: https://discord.gg/yc9AMaWfaf"
https://now.calpoly.edu/organization/nomas,Cal Poly National Organization of Minority Architect Students,"NOMAS is the student branch of the National Organization of Minority Architects (NOMA). NOMA’s purpose is to champion diversity within the design profession by promoting the excellence, community engagement, and professional development of its members."
https://now.calpoly.edu/organization/nursingpaclub,Cal Poly Nursing / PA Club,Give direction to students aiming for either the Nursing or PA profession. The club networks with admission counselors to familiarize students with each type of program offered. We also provide information with relevant job and volunteer opportunities.
https://now.calpoly.edu/organization/calpolyphotoclub,Cal Poly Photography Club,"Cal Poly Photography Club is a casual, low-commitment group that allows students interested in photography of all types to take photos together as well as share their knowledge and love for photography."
https://now.calpoly.edu/organization/calpolypickleballclub,Cal Poly Pickleball Club,The Cal Poly Pickleball Club welcomes players of all skill levels. It offers an inclusive environment to improve your court skills and discover a sport you can enjoy for a lifetime!
https://now.calpoly.edu/organization/predental,Cal Poly Pre-Dental Society,The Cal Poly Pre-Dental Society is a club for students interested in becoming a dentist and looking for a support network for their future dental career.
https://now.calpoly.edu/organization/productmanagementclub,Cal Poly Product Management Club,"Cal Poly PM Club aims to provide a space for students across different disciplines to learn about product management, build a network with peers as well as industry leaders, and immerse themselves at the intersection of business, tech, and design."
https://now.calpoly.edu/organization/psi-chi,Cal Poly Psi Chi Chapter,"Psi Chi is the National Honor Society for psychology students. Psi Chi is a platform for students to form meaningful connections with peers and faculty members, explore career paths, and network within our community and otherwise."
https://now.calpoly.edu/organization/publicpolicy,Cal Poly Public Policy Club,"The MPP Club is a student-led platform designed for Master’s in Public Policy students, fostering rich discussions, professional development, and practical policy application through workshops, networking events, and community outreach."
https://now.calpoly.edu/organization/calpolyquantclub,Cal Poly Quantitative Finance Club,"An organization dedicated to educating students about the field of quantitative finance, including member led presentations, seminars lead by industry professionals, and hands on group projects."
https://now.calpoly.edu/organization/cpre,Cal Poly Real Estate Club,Club exposes students at Cal Poly to the many different facets of within the Real Estate industry.
https://now.calpoly.edu/organization/cprcc,Cal Poly Red Cross Club,"The Cal Poly Red Cross Club strives to extend the humanitarian efforts of the American Red Cross to the Cal Poly and SLO communities. Our certification classes, blood drives, and visits from healthcare professionals promote a safer and healthier campus."
https://now.calpoly.edu/organization/rfid,Cal Poly RFID and IOT Club,"We promote projects and education around RFID and IOT technologies, especially in business applications."
https://now.calpoly.edu/organization/polyroundnet,Cal Poly Roundnet Club,We are the HUB for Spikeball ( the sport of Roundnet ) at Cal Poly SLO! Our goal is to have every person that comes out to club meetings learn and love the game this club is promoting! Follow us for more information on instagram @calpolyspike.
https://now.calpoly.edu/organization/rowing,Cal Poly Rowing Club,Cal Poly Rowing Club aims to provide Mustangs of all experience levels the opportunity to either discover or continue participation in the sport of rowing. CPRC members can expect to row in boats ranging from single sculls all the way to eights.
https://now.calpoly.edu/organization/rugby,Cal Poly Rugby Club,Club Sports Team
https://now.calpoly.edu/organization/cpsalsa,Cal Poly Salsa Club,"Since 2000, the Cal Poly Salsa Club (CPSalsa) has been dedicated to promoting salsa, bachata, and other forms of Afro-Latin social dancing to San Luis Obispo and the rest of the Central Coast. Learn to dance with us, no partner or experience necessary!"
https://now.calpoly.edu/organization/calpolyscholars,Cal Poly Scholars,"The Cal Poly Scholars program seeks to support and retain high-achieving students from California schools, who come from low-income backgrounds, by providing financial, academic, and community resources."
https://now.calpoly.edu/organization/cpsec,Cal Poly Security Education Club,"We are a group of security-oriented individuals who aim to teach and develop our security expertise through weekly talks, hands-on activities and competitions, and interdisciplinary research. Open to all majors, not just computing disciplinaries."
https://now.calpoly.edu/organization/cpsloverwatch,Cal Poly SLOverwatch Club,SLOverwatch is a club connected to the overall Esports community on campus. We are a welcoming environment for both casual and competitive players of the video game Overwatch 2. Our primary purpose is to provide fun events and to make friends!
https://now.calpoly.edu/organization/cp_sociologyclub,Cal Poly Sociology Club,"The organization will provide sociology students with support within their major, connections with the department and local organizations, and help students find their niche within the sociological field."
https://now.calpoly.edu/organization/cpsicc,Cal Poly South Indian Cultural Club,"A space to celebrate, preserve, and empower the South Indian culture and diaspora."
https://now.calpoly.edu/organization/svdc,Cal Poly Student Veterans and Dependents Club,A club for military connected students that builds community and provides resources.
https://now.calpoly.edu/organization/surfrider,Cal Poly Surfrider Foundation,"We are a student chapter of Surfrider Foundation, a national non-profit organization dedicated to the protection and enjoyment of the world's oceans, beaches, and waves for all. We have many programs that focus on education and advocacy for our coastline"
https://now.calpoly.edu/organization/survivor,Cal Poly Survivor Club,"Our club creates an opportunity for Cal Poly students to meet new people while competing in an exciting strategic game based on the hit CBS TV show Survivor. If you don't want to play, you can also join a welcoming community of all reality TV lovers."
https://now.calpoly.edu/organization/calpolyswimclub,Cal Poly Swim Club,"From beginners to former NCAA Division I swimmers, Swim Club is a fun and competitive club that offers training for swimmers of all abilities. We are a part of CISCA and CCS."
https://now.calpoly.edu/organization/cpswing,Cal Poly Swing Club,"We are a group of dancers who love Lindy Hop, Charleston, Collegiate Shag, Balboa, and various other varieties of swing. All levels welcome! We have free lessons on Sundays from 1-3pm, dance at Madonna Inn every Monday from 8-10pm, and dance around SLO!"
https://now.calpoly.edu/organization/table-tennis,Cal Poly Table Tennis Club,"Cal Poly Table Tennis is a group of students interested in developing their skills in table tennis in an encouraging, supportive environment. We welcome all ability levels and also offer the opportunity for competitive and recreational play."
https://now.calpoly.edu/organization/calpolytaga,Cal Poly TAGA Club,"Cal Poly TAGA, or Technical Association of the Graphic Arts, is a hands-on, competitive Graphic Communication club that focuses on designing and producing a technical research journal and introducing students to the graphics for printing industry."
https://now.calpoly.edu/organization/calpolytechsales,Cal Poly Tech Sales Club,"We are Cal Poly's new B2B software sales club, (tech sales). We want to give students, specifically any students the opportunity to learn more and get involved in SAAS sales. Our focus is to help students become BDRs, SDRs, and Account Executives."
https://now.calpoly.edu/organization/tec,Cal Poly Textile Engineering Club,"The goal of Cal Poly's Textile Engineering club is to represent synthetic materials in engineering and provide opportunities to develop our own textiles. Students aim to establish connections with industries that work with polymers, fibers, and plastics."
https://now.calpoly.edu/organization/theisms,Cal Poly Theisms Club,"We promote open-minded and thoughtful reflection upon issues important to Religious Studies with activities, speakers, and other programs."
https://now.calpoly.edu/organization/unicycle,Cal Poly Unicycle Club,"The Cal Poly Unicycle Club exists to teach anyone interested how to ride a unicycle for the first time, and also level up skills of existing riders. We hope to promote the sport of unicycling within our campus community in a safe and fun environment."
https://now.calpoly.edu/organization/cpurbanists,Cal Poly Urbanists Club,We are looking to promote the real world application of planning principles in order to empower Cal Poly students to enact the change they wish to seek on campus and in SLO through activism and community engagement.
