ID,Club Name,Club Purpose/Mission Statement
78,Iran Student Cultural Organization,"ISCO is a non-religious student organization whose main objective is to host Iranian social and cultural activities/events, in the efforts to promote an understanding of Iranian culture, as well as help foster friendship. We work to uplift the voices of minorities, and promote an inclusive environment where everyone is respected and considered equal, regardless of race/ethnicity, gender, sexuality, religion, etc."
79,Men’s Health & Wellbeing Club,"The Men’s Health & Wellbeing Club aims to educate, support, and unite young college men who are seeking to improve their lives in a holistic way. This entails focusing on aspects of their physical, mental, and social/relational life, to collectively work toward becoming the men they aspire to be. Through a variety of education-based activities, open discussions, as well as social events, we hope to create a brotherhood that promotes a lifestyle contagious to others. Some of the qualities we aim to embody include integrity, accountability, respectfulness, and selflessness."
80,Alpha Phi Omega,Community Service
81,Cal Poly Cognitive Neuroscience,"The Cal Poly Cognitive Neuroscience Club is an interdisciplinary club, aimed at connecting students from all different majors to promote dynamic conversations within the field. The club will focus on creating valuable opportunities for members to grow as students and professionals by equipping them with the necessary skills for their future endeavors. The Cal Poly Cognitive Neuroscience club will strengthen connections to on-campus faculty research projects and off-campus opportunities."
82,Kappa Alpha Theta,Panhellenic chapter
83,South Asian Student Association,"To serve as a welcoming space centering the most marginalized within South Asia on the basis of race, ethnicity, region, caste, class, religion, gender, and sexuality focused on co-existence and solidarity within and beyond South Asia."
84,Military science club,Our mission is to foster an understanding of leadership among our members. We aim to develop many skills through activities.
85,Sales Engineering Club,Cal Poly Sales Engineering Club serves to increase student awareness and interest of sales engineering as a rewarding career path
86,Waterski,We are a club sports team that waterskis
87,SLO Campus Ministry Pop Up: An Open and Affirming Campus Ministry,"We aim to provide an open, affirming, and judgment-free place of rest on campus. Our main purpose is to be a source of love on campus."
88,Sailing Team,Provide a welcoming environment for people to learn to sail as well as compete against the colleges of the west coast.
89,Women Empowered,"Cal Poly Women Empowered exists to be a welcoming space for people who are passionate about feminist issues to collaborate with an educational and social focus. Although this is a club centered around feminist topics, all Cal Poly students are welcome to join. We will use our platform as university students to educate ourselves and our peers to advocate for women’s rights across the world, starting with community engagement."
90,Cal Poly Red Cross Club,Our club partners with American Red Cross to prevent and alleviate human suffering in the face of emergencies by spreading awareness and mobilizing the power of volunteers.
91,Argentine Cultural Society at Cal Poly,"The Argentine Cultural Society at Cal Poly is dedicated to celebrating and sharing the rich heritage of Argentina with the campus community. Through cultural events, social gatherings, and hands-on experiences, we aim to foster connections, promote understanding, and create a welcoming space for all to explore Argentina’s unique traditions, language, cuisine, and customs. Our mission is to build a vibrant community that honors diversity and brings people together through the spirit of Argentine culture."
92,Association for Women in Math,To serve as a space for all people who support women in mathematics to congregate.
93,BMES,To help BMEDs network with each other.
94,Cal Poly Hiking and Backpacking Club,"The Hiking and Backpacking Club fosters a community of outdoor enthusiasts passionate about exploring nature through sustainable adventures. We promote physical wellness, environmental stewardship, and camaraderie by organizing inclusive hikes and backpacking trips. Whether you’re a seasoned adventurer or a beginner, our club welcomes all who seek to connect with nature and each other."
95,The Writers' Collective,We organize social community writing to raise awareness and have fun!
96,Cal Poly Textile Engineering Club,"Combining the worlds of Materials Engineering, fashion, and fiber arts"
97,Womxn in Mechanical Engineering,To empower women in mechanical engineering and create a community where we can connect together
98,The National Society of Leadership and Success,"For the purpose of assisting college students in creating the lives they desire, by helping students discover their passion and purpose through giving them the support and tools to achieve their goals, in order to build leaders who make a better world."
99,Cal Poly Pickleball Clun,Inclusive environment for everyone to come and enjoy playing pickleball. Open for both rec and competitive play.
100,Military Science Club,"Military science club aims to connect the student body with ROTC through leadership events, and information about the program and scholarship opportunities."
101,Bio-Cheminformatics Club,"The Bio-Cheminformatics Club fosters collaboration among life sciences and computational students, offering hands-on projects, workshops, and events to build skills in bioinformatics and cheminformatics."
102,Cal Poly Accounting Club,"To provide Cal Poly students with opportunities for accounting education through professional, educational, and social activities."
103,CP Lore Club,"Our purpose is to give students a space to investigate and present their favorite lore to other club members, where lore represents the collective details and theories from a person’s favorite game, movie, fictional universe, etc. Our club is all about encouraging complex but fun discussions about the things people love most!"
104,Cal Poly Amateur Radio Club,The California Polytechnic State University Amateur (Ham) Radio Club (CPARC) has a long tradition of communications service on campus and in the community of San Luis Obispo.
105,Field Studies Club,"A student-run group transitioning to a local non-profit. We create an inclusive outdoor community for all experience levels, breaking barriers to nature through accessible opportunities for connection, growth, education, and skill-building."
106,SHPE,"Leading Hispanics in STEM. SHPE as an organization raises awareness, provides access, and prepares Hispanic students and professionals to become leaders in the STEM field. Our members are driving innovation, the global economy, and a prosperous Hispanic community. SHPE partners with the leading companies, organizations, and academic institutions in the STEM field to help connect Hispanic/Latinx STEM majors to corporations and help establish networks that last their entire lives."
107,Computer Science and Artificial Intelligence Club,"To foster an inclusive and accessible community that applies current methods within artificial intelligence, data science, and software engineering to develop impactful projects for research and education."
108,SAMPE (Society for the Advancement of Material and Process Engineering),To work with composite materials for the purpose of SAMPE competitions and advancing research.
109,Students for Life at Cal Poly,We are the pro-life group on campus
110,Communications Studies Club,"We hope to encourage and support Cal Poly students and the COMS community, as a whole, to join a welcoming and equitable space while exploring the realm of Communication Studies."
111,American Chemical Society,"The American Chemical Society (ACS) is one of the world's largest scientific organizations, with a focus on advancing chemistry in all aspects. Cal Poly SLO's student chapter of ACS aims to do the same by providing a place for those interested in chemistry to gain professional and academic knowledge while fostering friendships in the Chemistry and Biochemistry department. Over the course of the academic year, our weekly meetings and regular club events provide students with the informational and skills needed to enjoy chemistry and/or advance in the field."
112,"Out in Science, Technology, Engineering, and Mathematics (oSTEM)","In a space where LGBTQ+ identities are often overlooked, Cal Poly’s oSTEM chapter strives to create a welcoming community for Queer engineers and scientists inside and outside of class. Through professional events, discussions between industry members and students, community spaces, outreach to local organizations and schools, and other forms of networking among the LGBTQ+ community, our oSTEM chapter will foster a more comfortable and inclusive space for queer people in STEM while focusing on the intersections of this community to ensure all members feel heard and empowered in STEM spaces at Cal Poly."
113,Puente @ Cal Poly,Puente’s purpose is to serve first gen students at Cal Poly and to provide them community.
114,Phi Sigma Kappa,To build better men
115,Cal Poly Nursing & PA Club,"The Nursing/PA Club at Cal Poly aims to guide, and support all students who plan to pursue a career in nursing or as a Physician Assistant. We plan to provide these resources through guest speakers, and volunteer opportunities within the community. Here are some things we provide to students: - Volunteer Opportunities -Guest Speakers (Nurses and PAs) -Graduate Schools to talk about admission requirements -Previously accepted Cal Poly students into both programs -Pre-Health advisors to talk about all that they offer We also want to emphasize that members can use this email as a way to ask any sort of questions about classes, professors, tips or tricks about this journey. We will respond the best way possible and redirect you to resources that will be helpful. Email us at calpolynursing.paclub@gmail.com"
116,Cal Poly Van Life,"Alternative Living, Education, Adventure, and Community!"
117,Simple Club,"We aim to create an inclusive community which prioritizes intentionality in our lives and with our use of technology and screens, challenging “productivity,” “progress,” and “convenience” as values which make life increasingly fast-paced and complex; a return to simplicity."
118,Philosophy Club,"To educate students on contemporary and historical philosophy, and to encourage them to present and discuss their findings in a professional academic manner."
119,Cal Poly Political Science Club,"This club is focused on welcoming everyone who is interested in politics regardless of political affiliation or field of study. We strive to create an environment where all students feel welcome and are bonded by their shared fascination of all things political. Our goal is to boost civic participation while also engaging students from diverse disciplines with various career paths in the field of Political Science. We work closely with the Political Science Department and our Advisor to communicate all the opportunities that we have as Political Science students here at Cal Poly. The Political Science Club has regularly scheduled meetings and will also be planning speaker nights, social events, and creative ways for students to engage with their democracy, major, professors, and each other this year."
120,Poly Pack,"Connecting students with packaging industry leaders, hosting packaging events, and hosting guest speakers."
121,Christian Students on Campus,"Group of believers who love the Lord and want to meet with others who pursue Him, regardless of their background"
122,Newman Catholic Club,"Our mission is to serve the communities of Cal Poly and Cuesta College as they proclaim the kingdom and build community through the ministries of Word, Sacrament and Service."
123,Cal Poly Theisms,"Cal Poly Theisms - A Religious Studies Club aims to promote open-minded and thoughtful reflection upon issues important to Religious Studies by promoting activities, speakers, and other programs."
124,Quantitative Analysis Concentration Club,"Concentration-affiliated club within Cal Poly's Orfalea College of Business, focused on promoting data analytical tools and growing students' professional network / connections."
125,Theta Chi,Fraternity on Campus
126,Public Health Club,"Public Health Club promotes wellness among our peers and local community, promotes protective health behaviors, connects students with local public health efforts, and shares information on careers and graduate school programs."
127,Chi Omega Chapter of Phi Sigma Iota Foreign Language Honor Society,"Chi Omega is the Cal Poly branch of Phi Sigma Iota, the national honor society for students either majoring or minoring in a foreign language. Phi Sigma Iota provides research opportunities, connections, and meaningful intellectual conversations among students and faculty interested in the pursuit of foreign language and linguistics. Phi Sigma Iota has guest speakers in the field, and provides publishing opportunities for undergraduate students."
128,SLOBreakers,SLOBreakers ains to promote and educate anyone about the culture and style of breaking to whoever is willing to learn.
129,Cal Poly Undergraduate Law Association,ULA Aims to build connections between undergraduate law students and support them on their journey.
130,Cal Poly Quantitative Finance Club,"An organization dedicated to educating students about the field of quantitative finance, including member led presentations, seminars lead by industry professionals, and hands on group projects. We aim to provide a space where members can apply the knowledge they learn through classes in an engaging, highly interdisciplinary environment."
131,PolyCon Tabletop Gaming,"To connect students through board games, RPGs, card games, and more!"
